1	DR01C01F00P01D201512190858	C	01	2015-12-19 00:00:00	08:58:00	D
2	DR01C01F00P01D201512200850	C	01	2015-12-20 00:00:00	08:50:00	D
3	DR01C01F00P01D201512210901	C	01	2015-12-21 00:00:00	09:01:00	D
4	DR01C01F00P01D201512220859	C	01	2015-12-22 00:00:00	08:59:00	D
5	DR01C01F00P01D201512230912	C	01	2015-12-23 00:00:00	09:12:00	D
6	DR01C01F00P01D201512240920	C	01	2015-12-24 00:00:00	09:20:00	D
7	DR01C01F00P01D201512250917	C	01	2015-12-25 00:00:00	09:17:00	D
8	DR01C01F00P01D201512260923	C	01	2015-12-26 00:00:00	09:23:00	D
9	DR01C01F00P01D201512270920	C	01	2015-12-27 00:00:00	09:20:00	D
10	DR01C01F00P01D201512280905	C	01	2015-12-28 00:00:00	09:05:00	D
11	DR01C01F00P01D201512290906	C	01	2015-12-29 00:00:00	09:06:00	D
12	DR01C01F00P01D201512300925	C	01	2015-12-30 00:00:00	09:25:00	D
13	DR01C01F00P01D201512310920	C	01	2015-12-31 00:00:00	09:20:00	D
14	DR01C01F00P01D201601010902	C	01	2016-01-01 00:00:00	09:02:00	D
15	DR01C01F00P01D201601020839	C	01	2016-01-02 00:00:00	08:39:00	D
16	DR01C11F00P01D201512191126	C	11	2015-12-19 00:00:00	11:26:00	D
17	DR01C11F00P01D201512201158	C	11	2015-12-20 00:00:00	11:58:00	D
18	DR01C11F00P01D201512211130	C	11	2015-12-21 00:00:00	11:30:00	D
19	DR01C11F00P01D201512221119	C	11	2015-12-22 00:00:00	11:19:00	D
20	DR01C11F00P01D201512231130	C	11	2015-12-23 00:00:00	11:30:00	D
21	DR01C11F00P01D201512241138	C	11	2015-12-24 00:00:00	11:38:00	D
22	DR01C11F00P01D201512251144	C	11	2015-12-25 00:00:00	11:44:00	D
23	DR01C11F00P01D201512261143	C	11	2015-12-26 00:00:00	11:43:00	D
24	DR01C11F00P01D201512271140	C	11	2015-12-27 00:00:00	11:40:00	D
25	DR01C11F00P01D201512281122	C	11	2015-12-28 00:00:00	11:22:00	D
26	DR01C11F00P01D201512291125	C	11	2015-12-29 00:00:00	11:25:00	D
27	DR01C11F00P01D201512301141	C	11	2015-12-30 00:00:00	11:41:00	D
28	DR01C11F00P01D201512311135	C	11	2015-12-31 00:00:00	11:35:00	D
29	DR01C11F00P01D201601011117	C	11	2016-01-01 00:00:00	11:17:00	D
30	DR01C11F00P01D201601021054	C	11	2016-01-02 00:00:00	10:54:00	D
31	DR01C21F00P01D201512191347	C	21	2015-12-19 00:00:00	13:47:00	D
32	DR01C21F00P01D201512201420	C	21	2015-12-20 00:00:00	14:20:00	D
33	DR01C21F00P01D201512211350	C	21	2015-12-21 00:00:00	13:50:00	D
34	DR01C21F00P01D201512221336	C	21	2015-12-22 00:00:00	13:36:00	D
35	DR01C21F00P01D201512231413	C	21	2015-12-23 00:00:00	14:13:00	D
36	DR01C21F00P01D201512241357	C	21	2015-12-24 00:00:00	13:57:00	D
37	DR01C21F00P01D201512251431	C	21	2015-12-25 00:00:00	14:31:00	D
38	DR01C21F00P01D201512261425	C	21	2015-12-26 00:00:00	14:25:00	D
39	DR01C21F00P01D201512271400	C	21	2015-12-27 00:00:00	14:00:00	D
40	DR01C21F00P01D201512281343	C	21	2015-12-28 00:00:00	13:43:00	D
41	DR01C21F00P01D201512291404	C	21	2015-12-29 00:00:00	14:04:00	D
42	DR01C21F00P01D201512301415	C	21	2015-12-30 00:00:00	14:15:00	D
43	DR01C21F00P01D201512311419	C	21	2015-12-31 00:00:00	14:19:00	D
44	DR01C21F00P01D201601011331	C	21	2016-01-01 00:00:00	13:31:00	D
45	DR01C21F00P01D201601021303	C	21	2016-01-02 00:00:00	13:03:00	D
46	DR01C31F00P01D201512191634	C	31	2015-12-19 00:00:00	16:34:00	D
47	DR01C31F00P01D201512201641	C	31	2015-12-20 00:00:00	16:41:00	D
48	DR01C31F00P01D201512211612	C	31	2015-12-21 00:00:00	16:12:00	D
49	DR01C31F00P01D201512221619	C	31	2015-12-22 00:00:00	16:19:00	D
50	DR01C31F00P01D201512231637	C	31	2015-12-23 00:00:00	16:37:00	D
51	DR01C31F00P01D201512241638	C	31	2015-12-24 00:00:00	16:38:00	D
52	DR01C31F00P01D201512251650	C	31	2015-12-25 00:00:00	16:50:00	D
53	DR01C31F00P01D201512261656	C	31	2015-12-26 00:00:00	16:56:00	D
54	DR01C31F00P01D201512271655	C	31	2015-12-27 00:00:00	16:55:00	D
55	DR01C31F00P01D201512281624	C	31	2015-12-28 00:00:00	16:24:00	D
56	DR01C31F00P01D201512291628	C	31	2015-12-29 00:00:00	16:28:00	D
57	DR01C31F00P01D201512301637	C	31	2015-12-30 00:00:00	16:37:00	D
58	DR01C31F00P01D201512311713	C	31	2015-12-31 00:00:00	17:13:00	D
59	DR01C31F00P01D201601011622	C	31	2016-01-01 00:00:00	16:22:00	D
60	DR01C31F00P01D201601021523	C	31	2016-01-02 00:00:00	15:23:00	D
61	DR01C41F00P01D201512191857	C	41	2015-12-19 00:00:00	18:57:00	D
62	DR01C41F00P01D201512201903	C	41	2015-12-20 00:00:00	19:03:00	D
63	DR01C41F00P01D201512211832	C	41	2015-12-21 00:00:00	18:32:00	D
64	DR01C41F00P01D201512221836	C	41	2015-12-22 00:00:00	18:36:00	D
65	DR01C41F00P01D201512231921	C	41	2015-12-23 00:00:00	19:21:00	D
66	DR01C41F00P01D201512241902	C	41	2015-12-24 00:00:00	19:02:00	D
67	DR01C41F00P01D201512251937	C	41	2015-12-25 00:00:00	19:37:00	D
68	DR01C41F00P01D201512261923	C	41	2015-12-26 00:00:00	19:23:00	D
69	DR01C41F00P01D201512271915	C	41	2015-12-27 00:00:00	19:15:00	D
70	DR01C41F00P01D201512281842	C	41	2015-12-28 00:00:00	18:42:00	D
71	DR01C41F00P01D201512291846	C	41	2015-12-29 00:00:00	18:46:00	D
72	DR01C41F00P01D201512301908	C	41	2015-12-30 00:00:00	19:08:00	D
73	DR01C41F00P01D201512311942	C	41	2015-12-31 00:00:00	19:42:00	D
74	DR01C41F00P01D201601011843	C	41	2016-01-01 00:00:00	18:43:00	D
75	DR01C41F00P01D201601021734	C	41	2016-01-02 00:00:00	17:34:00	D
76	DR01E02F00P01D201512190949	E	02	2015-12-19 00:00:00	09:49:00	D
77	DR01E02F00P01D201512201027	E	02	2015-12-20 00:00:00	10:27:00	D
78	DR01E02F00P01D201512210954	E	02	2015-12-21 00:00:00	09:54:00	D
79	DR01E02F00P01D201512220943	E	02	2015-12-22 00:00:00	09:43:00	D
80	DR01E02F00P01D201512231000	E	02	2015-12-23 00:00:00	10:00:00	D
81	DR01E02F00P01D201512241004	E	02	2015-12-24 00:00:00	10:04:00	D
82	DR01E02F00P01D201512251002	E	02	2015-12-25 00:00:00	10:02:00	D
83	DR01E02F00P01D201512261009	E	02	2015-12-26 00:00:00	10:09:00	D
84	DR01E02F00P01D201512271006	E	02	2015-12-27 00:00:00	10:06:00	D
